AtcoCode,Bearing,CommonName,CreationDateTime,GrandParentLocalityName,Indicator,Landmark,LocalityName,ModificationDateTime,NaptanCode,Notes,NptgLocalityCode,ParentLocalityName,StopType,Street
1800SB31341,S,Alexandra Park,2012-04-10T00:00:00,,opp,OLD BUS DEPOT,Moss Side,2012-04-10T00:00:00,MANGTPDJ,NAME AMENDED,E0029102,Manchester,BCT,PRINCESS RD
1800SG07831,W,Alexandra Park,2014-02-18T00:00:00,,o/s,PARK,Edgeley,2014-02-18T00:00:00,MANJAWGD,INDICATOR AMENDED,N0074972,,BCT,EDGELEY RD
1800WK05651,S,Alexandra Pk,2014-02-14T00:00:00,,opp,RAILWAY BRIDGE,Newtown,2014-02-14T00:00:00,MANPTJWG,indicator amended,N0075101,Wigan,BCT,WARRINGTON RD
1800WK05641,N,Alexandra Pk,2014-02-14T00:00:00,,o/s,PARK,Newtown,2014-02-14T00:00:00,MANPTJWD,indicator amended,N0075101,Wigan,BCT,WARRINGTON RD
1800SG10571,N,Alexandra Rd,2014-02-21T00:00:00,,nr,HOUSE 61,Heaton Norris,2014-02-21T00:00:00,MANJDJPD,INDICATOR AMENDED,E0028780,Stockport,BCT,HEATON RD
1800SG10451,S,Alexandra Rd,2014-02-21T00:00:00,,opp,HOUSE 34,Heaton Norris,2014-02-21T00:00:00,MANJDJGP,INDICATOR AMENDED,E0028780,Stockport,BCT,HEATON RD
1800SB31041,E,Alexandra Rd South,2007-11-01T00:00:00,,nr,HOUSE 274,Chorlton,2007-11-01T00:00:00,MANGTMTA,,E0028713,Manchester,BCT,WILBRAHAM RD
1800SB31901,SW,Alexandra Rd South,2007-11-01T00:00:00,Manchester,nr,HOUSE 96,Alexandra Park,2007-11-01T00:00:00,MANGTWDT,,E0028255,Whalley Range,BCT,YARBURGH ST
1800SB32981,W,Alexandra Rd South,2007-11-01T00:00:00,,opp,HOUGHEND CLOUGH,Chorlton,2007-11-01T00:00:00,MANGWAMW,,E0028713,Manchester,BCT,MAULDETH RD WST
1800SB32971,E,Alexandra Rd South,2007-11-01T00:00:00,,nr,GARAGE,Chorlton,2007-11-01T00:00:00,MANGWAMT,,E0028713,Manchester,BCT,MAULDETH RD WST
1800SB31051,W,Alexandra Rd South,2007-11-01T00:00:00,,adj,HOUSE 347,Chorlton,2007-11-01T00:00:00,MANGTMTD,,E0028713,Manchester,BCT,WILBRAHAM RD
1800SJ47231,NE,Alexandra Road,2015-01-30T00:00:00,,nr,HOUSE 50,Sale Moor,2015-01-30T00:00:00,MANJTMDW,INDICATOR AMENDED,N0075139,Sale,BCT,MARSLAND ROAD
1800SJ47571,SW,Alexandra Road,2015-01-30T00:00:00,,opp,HOUSE 67,Sale Moor,2015-01-30T00:00:00,MANJTMTJ,INDICATOR AMENDED,N0075139,Sale,BCT,MARSLAND ROAD
1800WAH0072,NE,Alexandra Road,2009-01-12T00:00:00,,Bend In Road,BEND IN ROAD,Prestolee,2009-01-12T00:00:00,,INDICATOR AMENDED,E0029220,Farnworth,BCT,ALEXANDRA ROAD
1800WKH0711,E,Alexandra Road,2007-11-01T00:00:00,,Eskdale Road,ESKDALE ROAD,Ashton In Makerfield,2007-11-01T00:00:00,,,E0028491,,BCT,ALEXANDRA ROAD
1800WAH0071,SW,Alexandra Road,2009-01-12T00:00:00,,Bend In Road,BEND IN ROAD,Prestolee,2009-01-12T00:00:00,,INDICATOR AMENDED,E0029220,Farnworth,BCT,ALEXANDRA ROAD
1800WKH0712,E,Alexandra Road,2007-11-01T00:00:00,,Eskdale Road,ESKDALE ROAD,Ashton In Makerfield,2007-11-01T00:00:00,,,E0028491,,BCT,ALEXANDRA ROAD
1800WAH3981,N,Alexandra Road (Nbnd),2015-05-12T00:00:00,,N-bound,Alexandra Road (Nbnd),Prestolee,2015-05-12T00:00:00,,,E0029220,Farnworth,BCT,ALEXANDRA ROAD
1800WK37761,N,Alexandra St,2007-11-01T00:00:00,,nr,HOUSE 184,Abram,2007-11-01T00:00:00,MANTDJPW,,E0028244,Wigan,BCT,WARRINGTON RD
1800WK08601,S,Alexandra St,2014-02-13T00:00:00,,opp,HOUSE 197,Abram,2014-02-13T00:00:00,MANPWDAM,indicator amended,E0028244,Wigan,BCT,WARRINGTON RD
1800ED30511,SW,Alexandra Terrace,2007-11-01T00:00:00,,nr,HOUSE 584,Moorside,2007-11-01T00:00:00,MANATMJG,,N0075085,,BCT,RIPPONDEN RD
1800EB11901,N,Alexian Bros. Ctr,2010-04-14T00:00:00,,o/s,NURSING HOME,Moston,2010-04-14T00:00:00,MANAGDGJ,INDICATOR AMENDED,N0075088,Manchester,BCT,ST MARYS RD
1800EB11941,S,Alexian Bros. Ctr,2010-10-15T00:00:00,,opp,HOUSE 1,Moston,2010-10-15T00:00:00,MANAGDGW,NAME AMENDED,N0075088,Manchester,BCT,ST MARYS RD
1800NC07171,SW,Alfred St,2010-04-21T00:00:00,,opp,PARK,Ramsbottom,2010-04-21T00:00:00,MANDPATJ,INDICATOR AMENDED,E0029236,Bury,BCT,BOLTON RD W
1800ED19591,S,Alfred St,2010-10-18T00:00:00,,,GEORGE DEW LTD,Werneth,2010-10-18T00:00:00,MANATADM,INDICATOR AMENDED,E0029517,Oldham,BCT,FEATHERSTALL RD
1800ED19601,N,Alfred St,2010-10-18T00:00:00,,nr,PROSPECT HOUSE,Werneth,2010-10-18T00:00:00,MANATADP,NAME AMENDED,E0029517,Oldham,BCT,FEATHERSTALL RD
1800ED24901,SW,Alfred St,2010-04-19T00:00:00,,opp,TRAVELODGE,Werneth,2010-04-19T00:00:00,MANATGDT,INDICATOR AMENDED,E0029517,Oldham,BCT,MANCHESTER ST
1800WA03331,S,Alfred St,2007-11-01T00:00:00,,Stop F,HOUSE 19,Moses Gate,2007-11-01T00:00:00,MANJWGJT,,E0029094,Farnworth,BCT,BOLTON RD
1800ED24891,NE,Alfred St,2010-04-19T00:00:00,,nr,TAKEAWAY,Werneth,2010-04-19T00:00:00,MANATGDP,INDICATOR AMENDED,E0029517,Oldham,BCT,MANCHESTER ST
1800NC07181,NE,Alfred St,2007-11-01T00:00:00,,nr,HOUSE 76,Ramsbottom,2007-11-01T00:00:00,MANDPATM,,E0029236,Bury,BCT,BOLTON RD W
1800WK10371,W,Alfred St,2013-05-21T00:00:00,,opp,HOUSE 45,Platt Bridge,2013-05-21T00:00:00,MANPWGTP,INDICATOR AMENDED,E0029211,Wigan,BCT,MOSS LN
1800NCH3412,SE,Alfred Street,2007-11-01T00:00:00,,Bolton Rd West,BOLTON RD WEST,Ramsbottom,2007-11-01T00:00:00,,,E0029236,Bury,BCT,ALFRED STREET
1800NCH3411,NW,Alfred Street,2007-11-01T00:00:00,,Bolton Rd West,BOLTON RD WEST,Ramsbottom,2007-11-01T00:00:00,,,E0029236,Bury,BCT,ALFRED STREET
1800NCH4081,S,Alfred Street (def route),2008-07-30T00:00:00,,Killon Street,KILLON STREET,Fishpool,2008-07-30T00:00:00,,NAME AMENDED,E0028405,Bury,BCT,ALFRED STREET
1800NCH4082,N,Alfred Street (def route),2008-07-30T00:00:00,,Killon Street,KILLON STREET,Fishpool,2008-07-30T00:00:00,,NAME AMENDED,E0028405,Bury,BCT,ALFRED STREET
1800SG16241,SW,Alfreton Rd,2014-02-18T00:00:00,,nr,LISBURNE COURT,Offerton,2014-02-18T00:00:00,MANJDWMD,INDICATOR AMENDED,E0029163,,BCT,LISBURNE LN
1800SGH2412,W,Alfreton Road,2007-11-01T00:00:00,,Alfreton Road,ALFRETON ROAD,Offerton,2007-11-01T00:00:00,,,E0029163,,BCT,MALLOWDALE ROAD
1800SGH0542,S,Alfreton Road,2007-11-01T00:00:00,,Alfreton Road,ALFRETON ROAD,Offerton,2007-11-01T00:00:00,,,E0029163,,BCT,LISBURNE LANE
1800SGH0541,N,Alfreton Road,2007-11-01T00:00:00,,Alfreton Road,ALFRETON ROAD,Offerton,2007-11-01T00:00:00,,,E0029163,,BCT,LISBURNE LANE
1800SGH2411,E,Alfreton Road,2007-11-01T00:00:00,,Alfreton Road,ALFRETON ROAD,Offerton,2007-11-01T00:00:00,,,E0029163,,BCT,MALLOWDALE ROAD
1800SGH1511,S,Alfreton Road (To define route),2007-11-01T00:00:00,,Mallowdale Road,MALLOWDALE ROAD,Offerton,2007-11-01T00:00:00,,,E0029163,,BCT,ALFRETON ROAD
1800SB04561,NW,All Saints,2008-07-10T00:00:00,,o/s,GROSVENOR SQ,Chorlton upon Medlock,2008-07-10T00:00:00,MANGPGWM,INDICATOR AMENDED,E0028715,Manchester,BCT,OXFORD RD
1800SB04571,NW,All Saints,2007-11-01T00:00:00,,Op Vegetarian S,OP VEGETARIAN S,Chorlton upon Medlock,2007-11-01T00:00:00,MANGPGWP,,E0028715,Manchester,BCT,OXFORD RD
1800SB04581,NW,All Saints,2007-11-01T00:00:00,,adj,GROSVENOR SQ,Chorlton upon Medlock,2007-11-01T00:00:00,MANGPGWT,,E0028715,Manchester,BCT,OXFORD RD
1800SJ41361,NW,All Saints Church,2015-05-11T00:00:00,,o/s,BOOTHS,Hale Barns,2015-05-11T00:00:00,MANJTJPM,STOP LOCATION AMENDED,N0074997,Altrincham,BCT,HALE ROAD
1800EB32751,NE,All Saints Church,2007-11-01T00:00:00,,nr,HOUSE 2,Newton Heath,2007-11-01T00:00:00,MANAGTWD,,E0029135,Manchester,BCT,BRISCOE LN
1800SG13211,SE,All Saints Church,2014-02-17T00:00:00,,opp,OFF LICENSE,South Reddish,2014-02-17T00:00:00,MANJDMJG,INDICATOR AMENDED,E0029245,Reddish,BCT,MANCHESTER RD
1800SG13201,NW,All Saints Church,2014-02-17T00:00:00,,o/s,CHURCH,South Reddish,2014-02-17T00:00:00,MANJDMJD,INDICATOR AMENDED,E0029245,Reddish,BCT,MANCHESTER RD
1800SG36332,N,All Saints Church,2005-05-24T00:00:00,,Towards Stockport,PARSONAGE GDNS,Hawk Green,2005-05-24T00:00:00,,,E0028761,Marple,BCT,Church Lane
1800SJ41371,SE,All Saints Church,2015-05-11T00:00:00,,opp,SHOPS,Hale Barns,2015-05-11T00:00:00,MANJTJPT,STOP LOCATION AMENDED,N0074997,Altrincham,BCT,HALE ROAD
1800SG16701,S,All Saints Church,2014-02-05T00:00:00,,o/s,HOUSE 139,Marple,2014-02-05T00:00:00,MANTGJGM,INDICATOR AMENDED,E0029038,,BCT,CHURCH LN
1800SG36331,N,All Saints Church,2014-02-05T00:00:00,,opp,HOUSE 162,Marple,2014-02-05T00:00:00,MANJGJPJ,INDICATOR AMENDED,E0029038,,BCT,CHURCH LN
1800EB35221,SE,All Saints Church,2010-04-15T00:00:00,,o/s,SCHOOL,Newton Heath,2010-04-15T00:00:00,MANAJMDG,INDICATOR AMENDED,E0029135,Manchester,BCT,CULCHETH LN
1800EH02631,S,All Saints College,2010-04-19T00:00:00,,o/s,COLLEGE,Dukinfield,2010-04-19T00:00:00,MANAWAJT,INDICATOR AMENDED,E0028357,,BCT,SCHOOL GROUNDS
1800EH03161,S,All Saints College,2010-04-19T00:00:00,,at,COLLEGE,Dukinfield,2010-04-19T00:00:00,MANAWAMW,INDICATOR AMENDED,E0028357,,BCT,BIRCH LN
1800EHH0612,S,All Saints R C High School,2010-10-18T00:00:00,,Birch Road,BIRCH ROAD,Dukinfield,2010-10-18T00:00:00,,STOP REMOVED,E0028357,,BCT,KENYON AVENUE
1800EHH0611,N,All Saints R C High School,2010-10-18T00:00:00,,Birch Road,BIRCH ROAD,Dukinfield,2010-10-18T00:00:00,,STOP REMOVED,E0028357,,BCT,KENYON AVENUE
1800EB35211,NW,All Saints Sch,2007-11-01T00:00:00,,opp,HOUSE 18,Newton Heath,2007-11-01T00:00:00,MANAJMDA,,E0029135,Manchester,BCT,CULCHETH LN
1800NE21941,SW,All Souls Church,2010-04-26T00:00:00,Rochdale,o/s,CHURCH,Captain Fold,2010-04-26T00:00:00,MANGAGTJ,INDICATOR AMENDED,N0074925,Heywood,BCT,ROCHDALE RD E
1800NE21931,NE,All Souls Church,2010-04-26T00:00:00,Rochdale,opp,HOUSE 167,Captain Fold,2010-04-26T00:00:00,MANGAGTG,INDICATOR AMENDED,N0074925,Heywood,BCT,ROCHDALE RD E
1800NC20731,NE,Allen St,2010-04-22T00:00:00,,opp,FENSTER WINDOWS,Woodhill,2010-04-22T00:00:00,MANDPJMD,INDICATOR AMENDED,E0029572,Bury,BCT,HARVEY ST
1800NC20741,SW,Allen St,2007-11-01T00:00:00,,nr,HOUSE 9,Woodhill,2007-11-01T00:00:00,MANDPJMG,,E0029572,Bury,BCT,HARVEY ST
1800WA21791,W,Allenby Grove,2014-05-15T00:00:00,,opp,GOSPEL HALL CTR,Dobb Brow,2014-05-15T00:00:00,MANPDWJP,indicator amended,E0028345,Westhoughton,BCT,WIGAN ROAD
1800WA21801,E,Allenby Grove,2014-05-15T00:00:00,,nr,HOUSE 202,Dobb Brow,2014-05-15T00:00:00,MANPDWJT,indicator amended,E0028345,Westhoughton,BCT,WIGAN ROAD
1800NF27031,NE,Allenby Rd,2007-11-05T00:00:00,,nr,HOUSE 1,Cadishead,2007-11-05T00:00:00,MANGJPWJ,LOCATION AMENDED,E0028666,Salford,BCT,LIVERPOOL RD
1800NE26671,SW,Allonby Walk,2007-11-01T00:00:00,,nr,HOUSE 342,Langley,2007-11-01T00:00:00,MANGAWTJ,,E0028938,Middleton,BCT,WINDERMERE RD
1800EB03731,N,Alma Rd,2010-03-25T00:00:00,,adj,HOUSE 54,Levenshulme,2010-03-25T00:00:00,MANADMAT,INDICATOR AMENDED,E0028951,Manchester,BCT,MARSHALL RD
1800EB03721,S,Alma Rd,2007-11-01T00:00:00,,nr,HOUSE 50,Levenshulme,2007-11-01T00:00:00,MANADMAP,,E0028951,Manchester,BCT,MARSHALL RD
1800EH05401,N,Alma St,2014-10-15T00:00:00,,nr,OPP GREEN CYCLE,Dukinfield,2014-10-15T00:00:00,MANAWGJP,STOP NAME AMENDED,E0028357,,BCT,KING ST
1800WK01491,NE,Almond Brook Rd,2013-05-21T00:00:00,,nr,BRITANNIA HOTEL,Shevington Moor,2013-05-21T00:00:00,MANPMPGD,INDICATOR AMENDED,E0029318,Wigan,BCT,SHEVINGTON LN
1800WK22731,NW,Almond Cres,2014-02-12T00:00:00,,nr,HOUSE 104,Standish,2014-02-12T00:00:00,MANPWMJW,indicator amended,E0029368,Wigan,BCT,WIGAN RD
1800NCH3451,N,Alpha Street,2007-11-01T00:00:00,Bury,None,Alpha Street,Black Lane,2007-11-01T00:00:00,,,E0028553,Radcliffe,BCT,ALPHA STREET
1800NCH3452,S,Alpha Street,2007-11-01T00:00:00,Bury,None,Alpha Street,Black Lane,2007-11-01T00:00:00,,,E0028553,Radcliffe,BCT,ALPHA STREET
1800WK08961,N,Alpine Cottages,2014-02-13T00:00:00,,nr,HOUSE 14,Golborne,2014-02-13T00:00:00,MANPWDMP,indicator amended,E0028447,,BCT,HELEN ST
1800WK08951,S,Alpine Cottages,2014-02-13T00:00:00,,opp,,Golborne,2014-02-13T00:00:00,MANPWDMJ,indicator amended,E0028447,,BCT,HELEN ST
1800NEH0572,N,Alpine Drive,2007-11-01T00:00:00,Rochdale,None,Alpine Drive,Holt Estate,2007-11-01T00:00:00,,,N0075017,Milnrow,BCT,ALPINE DRIVE
1800NEH0561,N,Alpine Drive,2011-02-07T00:00:00,Rochdale,N-bound,Alpine Drive,Holt Estate,2011-02-07T00:00:00,,DIRECTION AMENDED,N0075017,Milnrow,BCT,ALPINE DRIVE
1800NEH0571,S,Alpine Drive,2011-02-07T00:00:00,Rochdale,S-bound,Alpine Drive,Holt Estate,2011-02-07T00:00:00,,DIRECTION AMENDED,N0075017,Milnrow,BCT,ALPINE DRIVE
1800EDH0382,W,Alt Estate Cherry Avenue,2005-05-24T00:00:00,,Cherry Avenue - Thorn Road,THORN ROAD,Alt,2005-05-24T00:00:00,,,E0028259,Abbey Hills,BCT,Cherry Avenue
1800EHH1873,E,Alt Hill Lane,2005-05-24T00:00:00,,Alt Hill Lane - Alt Hill Road,ALT HILL ROAD,Lily Lanes,2005-05-24T00:00:00,,,E0028965,Ashton Under Lyne,BCT,Alt Hill Lane
1800EHH1871,W,ALT HILL LANE,2007-11-01T00:00:00,,Alt Hill Road,ALT HILL ROAD,Lily Lanes,2007-11-01T00:00:00,,,E0028965,Ashton Under Lyne,BCT,ALT HILL LANE
1800EHH1872,E,ALT HILL LANE,2007-11-01T00:00:00,,Alt Hill Road,ALT HILL ROAD,Lily Lanes,2007-11-01T00:00:00,,,E0028965,Ashton Under Lyne,BCT,ALT HILL LANE
1800EDH1922,NE,Alt Lane,2007-11-01T00:00:00,,Norbury Lane,NORBURY LANE,Alt,2007-11-01T00:00:00,,,E0028259,Abbey Hills,BCT,ALT LANE
1800EDH1921,SW,Alt Lane,2007-11-01T00:00:00,,Norbury Lane,NORBURY LANE,Alt,2007-11-01T00:00:00,,,E0028259,Abbey Hills,BCT,ALT LANE
1800EDH0331,N,Alt Lane (Nbnd),2007-11-01T00:00:00,,,ABBEY HILLS RD,Pitses,2007-11-01T00:00:00,,,E0029209,Abbey Hills,BCT,ALT LANE
1800EHH0331,N,Alt Road (Def route),2010-05-28T00:00:00,,Gambrel Bank Rd,GAMBREL BANK RD,Smallshaw,2010-05-28T00:00:00,,REMOVED,E0029338,Ashton Under Lyne,BCT,ALT ROAD
1800EHH0332,S,Alt Road (Def route),2010-05-28T00:00:00,,Gambrel Bank Rd,GAMBREL BANK RD,Smallshaw,2010-05-28T00:00:00,,REMOVED,E0029338,Ashton Under Lyne,BCT,ALT ROAD
1800SJQ0061,,Altincham Interchange,2007-12-20T00:00:00,,Opp Public House,STAMFORD NEW ROAD,Altrincham,2007-12-20T00:00:00,,,E0028261,,BCQ,Altrincham Interchange
1800SB12851,W,Altincham Rd,2007-11-01T00:00:00,,nr,,Sharston,2007-11-01T00:00:00,MANGPWJG,,E0029307,Manchester,BCT,GREENWOOD RD
1800EH20651,E,Alton Cl,2010-04-19T00:00:00,,nr,HOUSE 1,Hartshead,2010-04-19T00:00:00,MANDADWD,INDICATOR AMENDED,N0074998,Ashton Under Lyne,BCT,ST ALBANS AVE
1800SJT0841,,Altrincham - Railway Street,2004-09-14T00:00:00,,Railway St - Lloyd St,LLOYD ST,Altrincham,2004-09-14T00:00:00,,,E0028261,,TXR,Railway St
1800SJT0851,,Altrincham - Stamford New Road,2004-09-14T00:00:00,,Stamford New Rd - Bus Station,BUS STATION,Altrincham,2004-09-14T00:00:00,,,E0028261,,TXR,Stamford New Rd
1800SJT0861,,Altrincham - The Causeway,2004-09-14T00:00:00,,The Causeway - Cross St,CROSS ST,Altrincham,2004-09-14T00:00:00,,,E0028261,,TXR,The Causeway
1800SJH2931,N,Altrincham College of Arts,2016-01-29T00:00:00,,o/s,Altrincham College of Arts,Timperley,2016-01-29T00:00:00,,,E0029443,Altrincham,BCT,GREEN LANE
1800SJH2861,S,Altrincham Grammar School for Boys,2015-09-15T00:00:00,,o/s,Altrincham Grammar School for Boys,Rosehill,2015-09-15T00:00:00,,STOP LOCATION AMENDED,E0029268,Altrincham,BCT,MARLBOROUGH RD
1800SJH2871,N,Altrincham Grammar School for Boys,2015-09-15T00:00:00,,opp,Altrincham Grammar School for Boys,Rosehill,2015-09-15T00:00:00,,STOP LOCATION AMENDED,E0029268,Altrincham,BCT,MARLBOROUGH RD
1800SJH2881,SW,Altrincham Grammar School For Girls,2015-09-15T00:00:00,,opp,Altrincham Grammar School For Girls,Bowdon,2015-09-15T00:00:00,,STOP LOCATION AMENDED,E0028585,Altrincham,BCT,HIGHER DOWNS
1800SJH2891,NE,Altrincham Grammar School for Girls,2015-09-15T00:00:00,,o/s,Altrincham Grammar School for Girls,Bowdon,2015-09-15T00:00:00,,STOP LOCATION AMENDED,E0028585,Altrincham,BCT,HIGHER DOWNS
1800AMIC0B1,,Altrincham Interchange,2014-12-18T00:00:00,,Stand B,Altrincham Interchange,Altrincham,2014-12-18T00:00:00,MANTJWMA,STOP BB REMOVED FROM AMIC,E0028261,,BCS,STAMFORD NEW RD
1800AMIC002,,Altrincham Interchange,2005-05-24T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2005-05-24T00:00:00,,,E0028261,,BCS,Stamford New Rd
1800SJQ0051,,Altrincham Interchange,2007-12-20T00:00:00,,Car Park,STAMFORD NEW ROAD,Altrincham,2007-12-20T00:00:00,,,E0028261,,BCQ,Altrincham Interchange
1800SJR4931,,Altrincham Interchange,2005-05-24T00:00:00,,Stamford New Rd - Moss Lane,MOSS LANE,Altrincham,2005-05-24T00:00:00,,,E0028261,,RSE,Stamford New Rd
1800AMIC0C1,,Altrincham Interchange,2014-12-18T00:00:00,,Stand C,Altrincham Interchange,Altrincham,2014-12-18T00:00:00,MANTJWMD,STOP BB REMOVED FROM AMIC,E0028261,,BCS,STAMFORD NEW RD
1800AMIC0A1,,Altrincham Interchange,2014-12-18T00:00:00,,Stand A,Altrincham Interchange,Altrincham,2014-12-18T00:00:00,MANTJWJW,STOP BB REMOVED FROM AMIC,E0028261,,BCS,STAMFORD NEW RD
1800SJR0321,,Altrincham Interchange,2005-05-24T00:00:00,,Stamford New Rd - Moss Lane,MOSS LANE,Altrincham,2005-05-24T00:00:00,,,E0028261,,RSE,Stamford New Rd
1800SJ08911,SW,Altrincham Interchange,2014-12-01T00:00:00,,nr,BUS STATION,Altrincham,2014-12-01T00:00:00,MANJPMTJ,STOP INDICATOR REMOVED,E0028261,,BCT,ALTRINCHAM I/C
1800AMIC001,,Altrincham Interchange,2014-12-18T00:00:00,,Nr Train Station,Altrincham Interchange,Altrincham,2014-12-18T00:00:00,MANADADG,STOP BB REMOVED FROM AMIC,E0028261,,BCS,STAMFORD NEW RD
1800AMIC0D1,,Altrincham Interchange,2014-12-18T00:00:00,,Stand D,Altrincham Interchange,Altrincham,2014-12-18T00:00:00,MANTJWMG,STOP BB REMOVED FROM AMIC,E0028261,,BCS,STAMFORD NEW RD
1800AMIC0E1,,Altrincham Interchange,2014-12-18T00:00:00,,Stand E,Altrincham Interchange,Altrincham,2014-12-18T00:00:00,MANTJWMJ,STOP BB REMOVED FROM AMIC,E0028261,,BCS,STAMFORD NEW RD
1800AMIC0A,,Altrincham Interchange Stand A,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJATM,,E0028261,,BCS,Stamford New Rd
1800AMIC0B,,Altrincham Interchange Stand B,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJATP,,E0028261,,BCS,Stamford New Rd
1800AMIC0C,,Altrincham Interchange Stand C,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJATW,,E0028261,,BCS,Stamford New Rd
1800AMIC0D,,Altrincham Interchange Stand D,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJAWJ,,E0028261,,BCS,Stamford New Rd
1800AMIC0E,,Altrincham Interchange Stand E,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJAWM,,E0028261,,BCS,Stamford New Rd
1800AMIC0F1,,Altrincham Interchange STAND F,2011-07-08T00:00:00,,Stand F,Altrincham Interchange,Altrincham,2011-07-08T00:00:00,MANTJWMP,LOCATION AMENDED,E0028261,,BCS,STAMFORD NEW RD
1800AMIC0F,,Altrincham Interchange Stand F,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJAWP,,E0028261,,BCS,Stamford New Rd
1800AMIC0G,,Altrincham Interchange Stand G,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJAWT,,E0028261,,BCS,Stamford New Rd
1800AMIC0G1,,Altrincham Interchange STAND G,2011-07-08T00:00:00,,Stand G,Altrincham Interchange,Altrincham,2011-07-08T00:00:00,MANTJWMT,LOCATION AMENDED,E0028261,,BCS,STAMFORD NEW RD
1800AMIC0H1,,Altrincham Interchange STAND H,2011-07-08T00:00:00,,Stand H,Altrincham Interchange,Altrincham,2011-07-08T00:00:00,MANTJWMW,LOCATION AMENDED,E0028261,,BCS,STAMFORD NEW RD
1800AMIC0H,,Altrincham Interchange Stand H,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJDAD,,E0028261,,BCS,Stamford New Rd
1800AMIC0J,,Altrincham Interchange Stand J,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJDAG,,E0028261,,BCS,Stamford New Rd
1800AMIC0J1,,Altrincham Interchange STAND J,2011-07-08T00:00:00,,Stand J,Altrincham Interchange,Altrincham,2011-07-08T00:00:00,MANTJWPA,LOCATION AMENDED,E0028261,,BCS,STAMFORD NEW RD
1800AMIC0K,,Altrincham Interchange Stand K,2007-08-28T00:00:00,,Stamford New Rd,ALTRINCHAM INTERCHANGE,Altrincham,2007-08-28T00:00:00,MANTJDAJ,,E0028261,,BCS,Stamford New Rd
1800AMIC0K1,,Altrincham Interchange STAND K,2011-07-08T00:00:00,,Stand K,Altrincham Interchange,Altrincham,2011-07-08T00:00:00,MANTJWPD,LOCATION AMENDED,E0028261,,BCS,STAMFORD NEW RD
1800ALTRNHM0,,Altrincham Rail Station,2014-01-16T00:00:00,,Car Park Entrance,,Altrincham,2014-01-16T00:00:00,,,E0028261,,RSE,Car park
1800ALTRNHM2,,Altrincham Rail Station,2014-01-16T00:00:00,,North Entrance,,Altrincham,2014-01-16T00:00:00,,,E0028261,,RSE,Altrincham Interchange
1800ALTRNHM1,,Altrincham Rail Station,2014-01-16T00:00:00,,Ice Rink Entrance,,Altrincham,2014-01-16T00:00:00,,,E0028261,,RSE,Car park
1800ALTRNHM3,,Altrincham Rail Station,2014-01-16T00:00:00,,South Entrance,,Altrincham,2014-01-16T00:00:00,,,E0028261,,RSE,Altrincham Interchange
1800SJ01741,SW,Altrincham Railway Station,2014-05-20T00:00:00,,o/s,STATION,Altrincham,2014-05-20T00:00:00,MANJMWDT,INDICATOR AMENDED,E0028261,,BCT,STATION APPR/CH
1800SB42541,N,Altrincham Rd,2007-11-01T00:00:00,,nr,SOUTH COURT,Sharston,2007-11-01T00:00:00,MANGWMTP,,E0029307,Manchester,BCT,SHARSTON RD
1800SB16371,S,Altrincham Rd,2007-11-01T00:00:00,,nr,HOUSE 39,Brooklands,2007-11-01T00:00:00,MANGTGJT,,E0028623,Sale,BCT,FERNDOWN RD
1800SB12861,E,Altrincham Rd,2007-11-01T00:00:00,,adj,,Sharston,2007-11-01T00:00:00,MANGPWJM,,E0029307,Manchester,BCT,GREENWOOD RD
1800SB46661,S,Altrincham Rd,2007-11-01T00:00:00,,Stop D,,Baguley,2007-11-01T00:00:00,MANGWTPG,,E0028505,Manchester,BCT,SOUTHMOOR RD
1800SB41761,N,Altrincham Road,2007-11-01T00:00:00,,adj,HOUSE 62,Brooklands,2007-11-01T00:00:00,MANGWMDW,,E0028623,Sale,BCT,FERNDOWN ROAD
1800SBH1651,W,Altrincham Road,2008-07-30T00:00:00,,Op House 254,Altrincham Road,Sharston,2008-07-30T00:00:00,,NAME AMENDED,E0029307,Manchester,BCT,ALTRINCHAM RD
