AtcoCode,Bearing,CommonName,CreationDateTime,GrandParentLocalityName,Indicator,Landmark,LocalityName,ModificationDateTime,NaptanCode,Notes,NptgLocalityCode,ParentLocalityName,ShortCommonName,StopType,Street
1800WKH4501,E,St Peter's RCHS (SEbnd),2010-05-25T00:00:00,,,St Peter's RCHS (SEbnd),Orrell Post,2010-05-25T00:00:00,,,N0075110,Orrell,,BCT,IRWELL RD
1800NE07761,S,St Peter's Sch,2010-04-24T00:00:00,,o/s,SCHOOL,Alkrington,2010-04-24T00:00:00,MANDWMGP,INDICATOR AMENDED,N0074880,Middleton,St Peter's Sch,BCT,KIRKWAY
1800SBE2911,,St Peter'S Sq Metrolink Station North East Ent,2004-09-14T00:00:00,,St Peter'S Sq Metrolink Station - St Peter'S Sq,ST PETER'S SQ,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TMU,St Peter's Sq Metrolink Station
1800SBE2881,,St Peter'S Sq Metrolink Station North West Ent,2004-09-14T00:00:00,,St Peter'S Sq Metrolink Station - St Peter'S Sq,ST PETER'S SQ,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TMU,St Peter's Sq Metrolink Station
1800SBE2901,,St Peter'S Sq Metrolink Station Sorth East Ent,2004-09-14T00:00:00,,St Peter'S Sq Metrolink Station - Peter St,PETER ST,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TMU,St Peter's Sq Metrolink Station
1800SBE2891,,St Peter'S Sq Metrolink Station South West Ent,2004-09-14T00:00:00,,St Peter'S Sq Metrolink Station - Peter St,PETER ST,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TMU,St Peter's Sq Metrolink Station
1800EBH0621,N,St Peter's Upper RCHS,2007-11-01T00:00:00,,,SIRDAR ST,Fairfield,2007-11-01T00:00:00,,,E0028387,Droylsden,,BCT,GRANSMOOR RD
1800EBH0622,N,St Peter'S Upper Rchs     (Gransmoor Rd),2005-05-24T00:00:00,,Gransmoor Road - Sirdar Street,SIRDAR STREET,Fairfield,2005-05-24T00:00:00,,,E0028387,Droylsden,,BCT,Gransmoor Road
1800EHH1682,W,St Peter's Upper RCHS (Fairfield Rd),2007-11-01T00:00:00,,None,St Peter's Upper RCHS (Fairfield Rd),Fairfield,2007-11-01T00:00:00,,,E0028387,Droylsden,,BCT,FAIRFIELD ROAD
1800EHH1681,E,St Peter's Upper RCHS (Fairfield Rd),2007-11-01T00:00:00,,None,St Peter's Upper RCHS (Fairfield Rd),Fairfield,2007-11-01T00:00:00,,,E0028387,Droylsden,,BCT,FAIRFIELD ROAD
1800WAH2501,SE,St Peter's Way (Sbd - to define route),2007-11-01T00:00:00,,Bolton Rd Slip,BOLTON RD SLIP,Burnden,2007-11-01T00:00:00,,,E0028654,Bolton,,BCT,ST PETER'S WAY
1800SB45711,S,St Peters Primary Sch,2007-11-01T00:00:00,Manchester,o/s,SCHOOL,Newall Green,2007-11-01T00:00:00,MANGWPWG,,E0029129,Wythenshawe,St Peters Primary,BCT,FIRBANK RD
1800SB04681,N,St Peters Primary Sch,2007-11-01T00:00:00,Manchester,opp,SCHOOL,Newall Green,2007-11-01T00:00:00,MANGPJAP,,E0029129,Wythenshawe,St Peters Primary,BCT,FIRBANK RD
1800SB04682,N,St Peters Primary School,2006-01-20T00:00:00,Manchester,Towards Hospital,TUFFLEY ROAD,Newall Green,2006-01-20T00:00:00,,,E0029129,Wythenshawe,,BCT,Firbank Road
1800EBH0442,SW,St Peters R.C. Lower School,2005-05-24T00:00:00,Manchester,Holmcroft Rd - School,SCHOOL,Ryder Brow,2005-05-24T00:00:00,,,E0029286,Gorton,,BCT,Holmcroft Rd
1800SBT0501,,St Peters Square,2004-09-14T00:00:00,,Library,DICKINSON ST,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TXR,St Peter'S Sq
1800ZZMASTP2,,St Peters Square (Manchester Metrolink),2004-09-14T00:00:00,,South West Entrance,,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TMU,St Peter's Sq
1800ZZMASTP1,,St Peters Square (Manchester Metrolink),2004-09-14T00:00:00,,North West Entrance,,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TMU,St Peter's Sq
1800ZZMASTP3,,St Peters Square (Manchester Metrolink),2004-09-14T00:00:00,,South East Entrance,,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TMU,St Peter's Sq
1800ZZMASTP4,,St Peters Square (Manchester Metrolink),2004-09-14T00:00:00,,North East Entrance,,Manchester City Centre,2004-09-14T00:00:00,,,E0057786,Manchester,,TMU,St Peter's Sq
1800WA13421,NW,St Peters Way,2007-11-01T00:00:00,,nr,HOUSE 560,Burnden,2007-11-01T00:00:00,MANPAGPJ,,E0028654,Bolton,St Peters Way,BCT,MANCHESTER ROAD
1800WAH3451,E,St Peters Way (to def route),2007-11-01T00:00:00,,St Peters Way,ST PETERS WAY,Mill Hill,2007-11-01T00:00:00,,,E0029068,Bolton,,BCT,WATERLOO STREET
1800WAH3441,SE,St Peters Way (to define route),2007-11-01T00:00:00,,Blackburn Road,BLACKBURN ROAD,Mill Hill,2007-11-01T00:00:00,,,E0029068,Bolton,,BCT,ST PETER'S WAY
1800SG15511,SE,St Petersgate,2010-03-24T00:00:00,,Stop CC,CHRUCH,Stockport,2010-03-24T00:00:00,MANJDTMD,LOCATION AMENDED,E0057819,,St Petersgate,BCT,ST PETERS SQ
1800SG17461,SE,St Petersgate,2014-02-14T00:00:00,,nr,MANSION HOUSE,Stockport,2014-02-14T00:00:00,MANTPATW,INDICATOR AMENDED,E0057819,,St Petersgate,BCT,HIGH ST
1800WKH1182,NE,St Philips School,2007-11-01T00:00:00,,Park Street,PARK STREET,Hag Fold,2007-11-01T00:00:00,,,E0028727,Atherton,,BCT,BOLTON OLD ROAD
1800WKH1181,SW,St Philips School (SWbnd),2010-05-25T00:00:00,,Park Street,PARK STREET,Hag Fold,2010-05-25T00:00:00,,DIRECTION AMENDED,E0028727,Atherton,,BCT,BOLTON OLD ROAD
1800EH09981,S,St Raphael's Church,2010-10-21T00:00:00,,o/s,SCHOOL FIELD,Millbrook,2010-10-21T00:00:00,MANAWTMA,NAME/INDICATOR AMENDED,E0029069,Stalybridge,Church,BCT,HUDDERSFIELD RD
1800EH09971,N,St Raphael's Church,2010-10-21T00:00:00,,opp,PLAY PLANET,Millbrook,2010-10-21T00:00:00,MANAWTJW,INDICATOR AMENDED,E0029069,Stalybridge,Church,BCT,HUDDERSFIELD RD
1800WA10611,S,St Saviour School,2007-11-01T00:00:00,,at,ST SAVIOUR'S SC,Ringley,2007-11-01T00:00:00,MANJWPTJ,,E0029254,Farnworth,St Saviour School,BCT,FOLD ROAD
1800SG09251,W,St Simon's Sch,2014-02-21T00:00:00,,o/s,PENNYBROOK FOLD,Hazel Grove,2014-02-21T00:00:00,MANJDGAT,INDICATOR AMENDED,E0028763,,St Simon's Sch,BCT,BOSDEN FOLD RD
1800EH36551,SE,St Stephen's,2010-04-19T00:00:00,,opp,CATHOLIC CLUB,Droylsden,2010-04-19T00:00:00,MANDAWAP,INDICATOR AMENDED,E0028353,,St Stephen's,BCT,MEDLOCK ST
1800EH36571,NE,St Stephen's,2007-11-01T00:00:00,,opp,HOUSE 57,Droylsden,2007-11-01T00:00:00,MANDAWAW,,E0028353,,St Stephen's,BCT,CHAPPELL RD
1800EH36541,NW,St Stephen's,2010-04-19T00:00:00,,o/s,CHURCH,Droylsden,2010-04-19T00:00:00,MANDAWAM,INDICATOR AMENDED,E0028353,,St Stephen's,BCT,MEDLOCK ST
1800NC35081,NE,St Stephen's,2010-04-23T00:00:00,,o/s,CHURCH,Elton,2010-04-23T00:00:00,MANDTJGW,INDICATOR AMENDED,E0028380,Bury,St Stephen's,BCT,BOLTON RD
1800EH36581,SW,St Stephen's,2010-04-19T00:00:00,,o/s,CHURCH,Droylsden,2010-04-19T00:00:00,MANDAWDA,INDICATOR AMENDED,E0028353,,St Stephen's,BCT,CHAPPELL RD
1800WA15171,SE,St Stephen's,2007-11-01T00:00:00,,opp,HOUSE 135,Kearsley,2007-11-01T00:00:00,MANPAPMT,,E0028898,Farnworth,St Stephen's,BCT,MANCHESTER ROAD
1800NC35091,SW,St Stephen's,2010-01-14T00:00:00,,opp,HOUSE 225,Elton,2010-01-14T00:00:00,MANDTJMA,LOCATION AMENDED,E0028380,Bury,St Stephen's,BCT,BOLTON RD
1800WA41461,NW,St Stephen's,2014-02-28T00:00:00,,o/s,HOUSE 118,Kearsley,2014-02-28T00:00:00,MANPGPAJ,indicator amended,E0028898,Farnworth,St Stephen's,BCT,MANCHESTER RD
1800WKH1912,W,St Stephen's Avenue,2007-11-01T00:00:00,,Roundhouse Ave,ROUNDHOUSE AVE,Whelley,2007-11-01T00:00:00,,,E0029532,Wigan,,BCT,ST STEPHEN'S AV
1800WKH1911,W,St Stephen's Avenue (West bound),2010-05-06T00:00:00,,Roundhouse Ave,ROUNDHOUSE AVE,Whelley,2010-05-06T00:00:00,,DIRECTION AMENDED,E0029532,Wigan,,BCT,ST STEPHEN'S AV
1800ED12701,W,St Thomas,2010-04-15T00:00:00,,o/s,PRIMARY SCHOOL,Sholver,2010-04-15T00:00:00,MANAMWDJ,INDICATOR AMENDED,E0029321,,St Thomas,BCT,COLERIDGE RD
1800WK01871,S,St Thomas Church,2014-02-18T00:00:00,,nr,ST THOMAS CHURC,Ashton In Makerfield,2014-02-18T00:00:00,MANPMPWP,indicator amended,E0028491,,St Thomas Church,BCT,WARRINGTON RD
1800WK01881,N,St Thomas Church,2014-02-18T00:00:00,,opp,TAKEAWAY,Ashton In Makerfield,2014-02-18T00:00:00,MANPMPWT,indicator amended,E0028491,,St Thomas Church,BCT,WARRINGTON RD
1800NF43831,S,St Thomas' Church,2007-11-01T00:00:00,,Opp Church,OPP CHURCH,Hightown,2007-11-01T00:00:00,MANGPGDA,,E0028818,Salford,St Thomas' Church,BCT,GT CHEET'M ST E
1800SG07521,NW,St Thomas' Hospital,2014-02-18T00:00:00,,opp,HOSPITAL,Shaw Heath,2014-02-18T00:00:00,MANJATMT,INDICATOR AMENDED,N0075145,Stockport,St Thomas' Hos,BCT,SHAW HEATH
1800SG07531,SE,St Thomas' Hospital,2014-02-18T00:00:00,,o/s,HOSPITAL,Shaw Heath,2014-02-18T00:00:00,MANJATMW,INDICATOR AMENDED,N0075145,Stockport,St Thomas' Hos,BCT,SHAW HEATH
1800WK37471,SE,St Thomas's Church,2007-11-01T00:00:00,,o/s,CHURCH,Leigh,2007-11-01T00:00:00,MANTDJAP,,E0028950,,Church,BCT,CHAPEL ST
1800NE01561,W,St Vincent's Sch,2011-01-20T00:00:00,,o/s,SCHOOL,Bagslate,2011-01-20T00:00:00,MANDWDJT,indicator amended,N0074887,Rochdale,St Vincent's Sch,BCT,EDENFIELD RD
1800NE01562,W,St Vincent'S School,2006-01-20T00:00:00,,St.Vincents Sc,LAY BY,Bagslate,2006-01-20T00:00:00,,,N0074887,Rochdale,,BCT,Edenfield Road
1800NE48661,E,St Vincents Sch,2007-11-01T00:00:00,Rochdale,nr,SCHOOL,Cutgate,2007-11-01T00:00:00,MANGDWAJ,,E0028306,Bagslate,St Vincents Sch,BCT,EDENFIELD RD
1800SJH1732,SW,St Vincents School,2015-10-07T00:00:00,,W-bound,SCHOOL,Altrincham,2015-10-07T00:00:00,,,E0028261,,,BCT,ORCHARD ROAD
1800SJH1731,NE,St Vincents School,2007-11-01T00:00:00,,School,SCHOOL,Altrincham,2007-11-01T00:00:00,,,E0028261,,,BCT,ORCHARD ROAD
1800SJ18571,S,St Werburg's Church,2015-12-16T00:00:00,,o/s,CHURCH,Mossbrow,2015-12-16T00:00:00,MANTWPDJ,,E0029104,,Church,BCT,BENT LANE
1800SB32511,W,St Werburgh's,2013-05-16T00:00:00,,Stop E,TEALBY COURT,Chorlton,2013-05-16T00:00:00,MANGTWPA,INDICATOR AMENDED,E0028713,Manchester,St Werburgh's,BCT,WILBRAHAM RD
1800SB32501,E,St Werburgh's,2013-05-16T00:00:00,,Stop D,CHURCH,Chorlton,2013-05-16T00:00:00,MANGTWMW,INDICATOR AMENDED,E0028713,Manchester,St Werburgh's,BCT,WILBRAHAM RD
1800SB02571,W,St Werburgh's Rd,2008-05-01T00:00:00,,nr,HOUSE 254,Whalley Range,2008-05-01T00:00:00,MANGPGPW,LOCATON AMENDED,E0029530,Manchester,St Werburgh's Rd,BCT,MANLEY RD
1800SB33091,W,St Werburgh's Rd,2007-11-01T00:00:00,,nr,HOUSE 167,Whalley Range,2007-11-01T00:00:00,MANGWAPT,,E0029530,Manchester,St Werburgh's Rd,BCT,MANLEY RD
1800SB02581,E,St Werburgh's Rd,2007-11-01T00:00:00,,at,HOUSE 216,Whalley Range,2007-11-01T00:00:00,MANGPGTA,,E0029530,Manchester,St Werburgh's Rd,BCT,MANLEY RD
1800ZZMASTW1,,St Werburgh's Rd Station (Manchester Metrolink),2011-03-04T00:00:00,,North West Entrance,,Chorlton,2011-03-04T00:00:00,,,E0028713,Manchester,,TMU,St Werburgh's Road
1800ZZMASTW2,,St Werburgh's Rd Station (Manchester Metrolink),2011-03-04T00:00:00,,North Entrance,,Chorlton,2011-03-04T00:00:00,,,E0028713,Manchester,,TMU,St Werburgh's Road
1800SBH0831,S,St Werburghs Road,2007-11-01T00:00:00,,Kings Road,KINGS ROAD,Chorlton,2007-11-01T00:00:00,,,E0028713,Manchester,,BCT,ST WERBURGHS RD
1800SBH0832,N,St Werburghs Road,2007-11-01T00:00:00,,Kings Road,KINGS ROAD,Chorlton,2007-11-01T00:00:00,,,E0028713,Manchester,,BCT,ST WERBURGHS RD
1800WK00531,NE,St Wilfred's Church,2013-05-18T00:00:00,,o/s,CHURCH,Stubshaw Cross,2013-05-18T00:00:00,MANPMGDT,INDICATOR AMENDED,E0029394,Ashton In Makerfield,St Wilfred's Chrc,BCT,BOLTON RD
1800SB30341,E,St Wilfrid's,2007-11-01T00:00:00,,o/s,PRIMARY SCHOOL,Hulme,2007-11-01T00:00:00,MANGTMAJ,,E0028865,Manchester,St Wilfrid's,BCT,ROYCE RD
1800SB30331,W,St Wilfrid's,2007-11-01T00:00:00,,opp,METHODIST CHRCH,Hulme,2007-11-01T00:00:00,MANGTMAG,,E0028865,Manchester,St Wilfrid's,BCT,ROYCE RD
1800WKH2342,N,St Wilfrid's Road,2007-11-01T00:00:00,,Glebe Road,GLEBE ROAD,Standish,2007-11-01T00:00:00,,,E0029368,Wigan,,BCT,ST WILFRID'S RD
1800WKH2341,N,St Wilfrid's Road (NW bound),2010-05-05T00:00:00,,Glebe Road,GLEBE ROAD,Standish,2010-05-05T00:00:00,,DIRECTION REVISED,E0029368,Wigan,,BCT,ST WILFRID'S RD
1800WKH4601,SE,St Wilfrid's Road (SEbnd),2010-05-26T00:00:00,,nr Hse 39,St Wilfrid's Road (SEbnd),Standish,2010-05-26T00:00:00,,,E0029368,Wigan,,BCT,ST WILFRID'S RD
1800WK22651,W,St Wilfrids Rd,2014-02-12T00:00:00,,nr,CHURCH YARD,Standish,2014-02-12T00:00:00,MANPWMGW,indicator amended,E0029368,Wigan,St Wilfrids Rd,BCT,RECTORY LN
1800WK22641,E,St Wilfrids Rd,2014-02-12T00:00:00,,opp,HOUSE 19,Standish,2014-02-12T00:00:00,MANPWMGT,indicator amended,E0029368,Wigan,St Wilfrids Rd,BCT,RECTORY LN
1800WA07161,E,St William's Church,2014-10-14T00:00:00,,o/s,CHURCH,Lever Edge,2014-10-14T00:00:00,MANJWJGM,INDICATOR AMENDED,E0028954,,Saint William's,BCT,LEVER EDGE LANE
1800SG12661,W,St Winifred's,2014-02-21T00:00:00,,o/s,ST WINIFREDS,Heaton Mersey,2014-02-21T00:00:00,MANJDMAG,INDICATOR AMENDED,E0028778,,St Winifred's,BCT,DIDSBURY RD
1800WF02901,SE,St. Anne's Church,2014-02-21T00:00:00,,o/s,CHURCH,Clifton,2014-02-21T00:00:00,MANPJGAJ,indicator amended,E0028726,Salford,St. Anne's Church,BCT,MANCHESTER RD
1800WF02911,NW,St. Anne's Church,2014-02-21T00:00:00,,opp,HOUSE 240,Clifton,2014-02-21T00:00:00,MANPJGAM,indicator amended,E0028726,Salford,St. Anne's Church,BCT,MANCHESTER RD
1800EH46261,E,St. Anne's Rd,2007-11-01T00:00:00,,Stop E,,Hooley Hill,2007-11-01T00:00:00,MANDJAGD,,E0028849,,St. Anne's Rd,BCT,SHEPLEY RD
1800EH46271,W,St. Anne's Rd,2007-11-01T00:00:00,,Stop F,HOUSE 24,Hooley Hill,2007-11-01T00:00:00,MANDJAGJ,,E0028849,,St. Anne's Rd,BCT,SHEPLEY RD
1800EB05551,NW,St. Anselm Hall,2007-11-01T00:00:00,,Stop B,ST ANSELM HALL,Rusholme,2007-11-01T00:00:00,MANTDWGJ,,E0029284,Manchester,St. Anselm Hall,BCT,ANSON RD
1800WF39101,SE,St. Augustines,2014-02-20T00:00:00,,opp,,Pendlebury,2014-02-20T00:00:00,MANPJMWG,indicator amended,E0029198,Salford,St. Augustines,BCT,BOLTON RD
1800WF39111,NW,St. Augustines,2014-02-20T00:00:00,,o/s,SCHOOL,Pendlebury,2014-02-20T00:00:00,MANPJMWJ,indicator amended,E0029198,Salford,St. Augustines,BCT,BOLTON RD
1800EH37851,N,St. Barnabas,2007-11-01T00:00:00,,opp,CHURCH,Hattersley,2007-11-01T00:00:00,MANDGDJM,,E0028756,,St. Barnabas,BCT,HATTERSLEY RD E
1800EH37861,S,St. Barnabas,2010-04-20T00:00:00,,o/s,BARNABAS CHURCH,Hattersley,2010-04-20T00:00:00,MANDGDJP,INDICATOR AMENDED,E0028756,,St. Barnabas,BCT,HATTERSLEY RD E
1800WA43131,NW,St. Bartholomew St,2014-02-24T00:00:00,,nr,,Rose Hill,2014-02-24T00:00:00,MANPJAGD,indicator amended,N0075133,Bolton,St Bartholomew St,BCT,NELSON ST
1800SBH1491,S,St. Bede's College,2007-11-01T00:00:00,Manchester,Alexandra Rd S,ALEXANDRA RD S,Alexandra Park,2007-11-01T00:00:00,,,E0028255,Whalley Range,,BCT,MAYFIELD ROAD
1800SBH1492,N,St. Bede's College,2007-11-01T00:00:00,Manchester,Alexandra Rd S,ALEXANDRA RD S,Alexandra Park,2007-11-01T00:00:00,,,E0028255,Whalley Range,,BCT,MAYFIELD ROAD
1800EH21081,N,St. Christopher's,2007-11-01T00:00:00,,opp,HOUSE 63,Higher Hurst,2007-11-01T00:00:00,MANDAGTD,,E0028806,Ashton Under Lyne,St. Christopher's,BCT,LEES RD
1800NE02552,NW,St. Cuthbert'S School,2006-01-20T00:00:00,,Towards High Crompton,OLDHAM ROAD,Rochdale,2006-01-20T00:00:00,,,E0057799,,,BCT,Shaw Road
1800NF29141,S,St. George's Cres,2007-11-01T00:00:00,Salford,opp,HOUSE 30A,Ellesmere Park,2007-11-01T00:00:00,MANGMGDT,,E0028378,Eccles,St. George's Cres,BCT,PARK RD
1800EH08481,NE,St. George's Sch,2007-11-01T00:00:00,,opp,SCHOOL,Brookbottom,2007-11-01T00:00:00,MANAWMTP,,N0075087,Top Mossley,St George's Sch,BCT,STAMFORD ST
1800WAT1081,,St. George's Street,2004-09-14T00:00:00,,All Saints St,ALL SAINT ST,Bolton,2004-09-14T00:00:00,,,E0057777,,,TXR,St George'S St
1800NF29131,N,St. Georges Cres,2007-11-01T00:00:00,Salford,nr,HOUSE 35,Ellesmere Park,2007-11-01T00:00:00,MANGMGDP,,E0028378,Eccles,St. Georges Cres,BCT,PARK RD
1800EH06851,SW,St. Georges St,2010-10-19T00:00:00,,nr,HOUSE 92,Ridge Hill,2010-10-19T00:00:00,MANAWJDM,INDICATOR AMENDED,E0029252,Stalybridge,St. Georges St,BCT,RIDGE HILL LN
1800WA17591,SE,St. Helens Road,2010-09-16T00:00:00,,nr,SUPERMARKET,Daubhill,2010-09-16T00:00:00,MANPDGPD,LOCATION AMENDED,E0028320,,St. Helens Road,BCT,DEANE CHURCH LA
1800WA17601,SE,St. Helens Road,2007-11-01T00:00:00,,nr,KENYON HOUSE,Daubhill,2007-11-01T00:00:00,MANPDGPG,,E0028320,,St. Helens Road,BCT,MORRIS GREEN LA
1800WA17511,N,St. Helens Road,2007-11-01T00:00:00,,nr,GARAGE,Fernhill Gate,2007-11-01T00:00:00,MANPDGMA,,E0028399,Deane,St. Helens Road,BCT,HULTON LANE
1800SJH1981,W,St. Hughs School,2007-11-01T00:00:00,,None,St. Hughs School,Timperley,2007-11-01T00:00:00,,,E0029443,Altrincham,,BCT,PARK ROAD
1800SJH1982,E,St. Hughs School,2015-10-07T00:00:00,,None,St. Hughs School,Timperley,2015-10-07T00:00:00,,,E0029443,Altrincham,,BCT,PARK ROAD
1800NE32271,E,St. James St,2010-04-26T00:00:00,,opp,PROPERTY 38,Heywood,2010-04-26T00:00:00,MANGDGDP,INDICATOR AMENDED,E0028791,Rochdale,St. James St,BCT,BRIDGE ST
1800NE32261,W,St. James St,2007-11-01T00:00:00,,nr,PROPERTY 31,Heywood,2007-11-01T00:00:00,MANGDGDM,,E0028791,Rochdale,St. James St,BCT,BRIDGE ST
1800SG16611,S,St. James' Sch,2014-02-18T00:00:00,,adj,SCHOOL,Gillbent,2014-02-18T00:00:00,MANJDWTA,INDICATOR AMENDED,E0028438,Cheadle Hulme,St. James' Sch,BCT,SCHOOL LAYBY
1800SG16621,S,St. James' Sch,2014-02-18T00:00:00,,nr,SCHOOL,Gillbent,2014-02-18T00:00:00,MANJDWTD,INDICATOR AMENDED,E0028438,Cheadle Hulme,St. James' Sch,BCT,SCHOOL LAYBY
1800SG16601,SE,St. James' Sch,2014-02-18T00:00:00,,at,SCHOOL,Gillbent,2014-02-18T00:00:00,MANJDWPW,INDICATOR AMENDED,E0028438,Cheadle Hulme,St. James' Sch,BCT,SCHOOL LAYBY
1800SG16591,E,St. James' Sch,2014-02-18T00:00:00,,o/s,SCHOOL,Gillbent,2014-02-18T00:00:00,MANJDWPT,INDICATOR AMENDED,E0028438,Cheadle Hulme,St. James' Sch,BCT,ST JAMES WAY
1800WF39011,S,St. John's Church,2014-02-20T00:00:00,,o/s,ST JOHN CHURCH,Irlams o' th' Height,2014-02-20T00:00:00,MANPJMTA,indicator amended,E0028886,Salford,St. John's Church,BCT,BOLTON RD
1800EH38131,E,St. John's Church,2010-04-20T00:00:00,,o/s,CHURCH HALL,Godley,2010-04-20T00:00:00,MANDGDWA,INDICATOR AMENDED,E0028445,Hyde,St. John's Church,BCT,HIGH ST
1800EH38141,W,St. John's Church,2010-04-20T00:00:00,,opp,HOUSE 58,Godley,2010-04-20T00:00:00,MANDGDWD,INDICATOR AMENDED,E0028445,Hyde,St. John's Church,BCT,HIGH ST
1800WF39021,N,St. Johns Church,2014-02-20T00:00:00,,opp,HOUSE 42,Irlams o' th' Height,2014-02-20T00:00:00,MANPJMTD,indicator amended,E0028886,Salford,St. Johns Church,BCT,BOLTON RD
1800WF40431,NW,St. Joseph's Church,2014-02-18T00:00:00,,opp,KINGDOM HALL,Little Hulton,2014-02-18T00:00:00,MANPJWMA,indicator amended,E0028978,Salford,St. Joseph's,BCT,OLD LN
1800NF27331,SE,St. Joseph's Sch,2007-11-01T00:00:00,,o/s,SCHOOL,Irlam,2007-11-01T00:00:00,MANGJTMD,,E0028884,Salford,St. Joseph's Sch,BCT,CUTNOOK LN
1800EH43611,SE,St. Lawrence's,2010-04-20T00:00:00,,opp,BOOKMAKERS,Circular Road Estate,2010-04-20T00:00:00,MANDGTJD,INDICATOR AMENDED,N0077407,Denton,St. Lawrence's,BCT,STOCKPORT RD
1800EH48201,N,St. Lawrence's,2007-11-01T00:00:00,,o/s,OFF LICENCE,Denton,2007-11-01T00:00:00,MANDJDMW,,N0074964,,St. Lawrence's,BCT,STOCKPORT RD
1800WF39221,NE,St. Mark's Church,2014-02-20T00:00:00,,opp,CARE HOME,Pendlebury,2014-02-20T00:00:00,MANPJPDA,indicator amended,E0029198,Salford,st. Mark's Church,BCT,STATION RD
1800WF39231,SW,St. Mark's Church,2014-02-20T00:00:00,,o/s,CHURCH,Pendlebury,2014-02-20T00:00:00,MANPJPDG,indicator amended,E0029198,Salford,St. Mark's Church,BCT,STATION RD
1800NB03971,N,St. Mary's Gate,2010-11-17T00:00:00,,nr,HOTEL,Manchester City Centre,2010-11-17T00:00:00,MANDJMGJ,INDICATOR AMENDED,E0057786,Manchester,St. Mary's Gate,BCT,DEANSGATE
1800NBH0241,E,St. Mary's Gate (to define route),2007-11-01T00:00:00,,St Ann's Square,ST ANN'S SQUARE,Manchester City Centre,2007-11-01T00:00:00,,,E0057786,Manchester,,BCT,ST MARY'S GATE
1800EH38771,E,St. Marys Rd,2007-11-01T00:00:00,,nr,,Newton,2007-11-01T00:00:00,MANDGJMW,,N0075097,Hyde,St. Marys Rd,BCT,TALBOT RD
1800EH38781,W,St. Marys Rd,2007-11-01T00:00:00,,opp,LOUVERLITE,Newton,2007-11-01T00:00:00,MANDGJPA,,N0075097,Hyde,St. Marys Rd,BCT,TALBOT RD
1800EH37971,E,St. Pauls Hill Rd,2007-11-01T00:00:00,,opp,,Godley,2007-11-01T00:00:00,MANDGDPD,,E0028445,Hyde,St. Pauls Hill Rd,BCT,MOTTRAM RD
1800EH38021,W,St. Pauls Hill Rd,2007-11-01T00:00:00,,nr,HOUSE 2,Godley,2007-11-01T00:00:00,MANDGDPM,,E0028445,Hyde,St. Pauls Hill Rd,BCT,MOTTRAM RD
1800WK45091,E,St. Peter's Church,2008-06-02T00:00:00,,opp,ST.PETERS CH,Bryn,2008-06-02T00:00:00,MANTDPAT,INDICATOR AMENDED,E0028641,Ashton In Makerfield,Church,BCT,BRYN RD
1800WK45081,W,St. Peter's Church,2007-11-01T00:00:00,,o/s,CHURCH,Bryn,2007-11-01T00:00:00,MANTDPAP,,E0028641,Ashton In Makerfield,Church,BCT,BRYN RD
1800NE32521,NE,St. Peter's Sch,2008-03-26T00:00:00,Rochdale,o/s,HOUSE 99,Lower Place,2008-03-26T00:00:00,MANGDGJG,INDICATOR AMENDED,E0029025,Turf Hill,St. Peter's Sch,BCT,KINGSWAY
1800WAH3701,N,St. Peter's Way,2007-11-01T00:00:00,,Nr Grass Area,St. Peter's Way,Mill Hill,2007-11-01T00:00:00,,,E0029068,Bolton,,BCT,ST. PETER'S WAY
1800SBR3111,,St. Peters Square (Metrolink),2005-05-24T00:00:00,,Saint Peters Sq - Oxford Road,OXFORD ROAD,Manchester City Centre,2005-05-24T00:00:00,,,E0057786,Manchester,,RSE,Saint Peters Sq
1800SG13281,SE,St. Petersgate,2010-03-24T00:00:00,,Stop LL,CHRUCH,Stockport,2010-03-24T00:00:00,MANJDMPA,LOCATION AMENDED,E0057819,,St. Petersgate,BCT,ST PETER'S SQ.
1800NF03741,N,St. Thomas' Church,2007-11-01T00:00:00,,o/s,CHURCH,Hightown,2007-11-01T00:00:00,MANGJMJW,,E0028818,Salford,Church,BCT,GT CHEET'M ST E
1800WA43451,W,St. William's Church,2014-02-21T00:00:00,,opp,HOUSE 121,Lever Edge,2014-02-21T00:00:00,MANPJATM,indicator amended,E0028954,,St William's Chur,BCT,LEVER EDGE LN
1800SB04881,NW,St.Peter's Sq,2016-04-22T00:00:00,,Stop SN,PHARMACY,Manchester City Centre,2016-04-22T00:00:00,MANGPJMG,STOP LOCATION AMENDED,E0057786,Manchester,St.Peter's Square,BCT,OXFORD ST
1800SB04882,NW,St.Peter'S Square(Stop Sn),2006-01-20T00:00:00,,Towards Bury New Road,HALL STREET,Manchester City Centre,2006-01-20T00:00:00,,,E0057786,Manchester,,BCT,Oxford Street
